word,probability
work,-4.826159259690499
day,-5.401742487479153
med,-5.437881179656392
medication,-5.485722241340223
help,-5.48891744106492
really,-5.561756229669394
try,-5.61236654370513
start,-5.625408431766189
want,-5.684295429310382
need,-5.728412465392481
people,-5.774647918130541
say,-5.775757706656279
focus,-5.786815343522287
adderall,-5.831547544315681
year,-5.831955396245881
good,-5.842245671261736
diagnose,-5.842816985490772
school,-5.862839047368546
vyvanse,-5.88636016776142
life,-5.945532547709893
hour,-5.977828925870698
lot,-5.9909101826855835
week,-5.998280550514364
effect,-6.009195411361487
tell,-6.012619956402844
month,-6.015992931051887
talk,-6.058333133760695
struggle,-6.067750545563462
use,-6.071869113251329
way,-6.07240132562031
doctor,-6.081404677483739
hard,-6.116097048379943
brain,-6.120925729057912
long,-6.136789251217535
job,-6.1387846245509845
symptom,-6.140882290713007
look,-6.16854586336
bad,-6.191934264784668
forget,-6.201962822239393
experience,-6.223700106033748
actually,-6.231469093896777
sleep,-6.23193277022722
able,-6.282027225571159
read,-6.290621518913866
issue,-6.3254530905532125
diagnosis,-6.32752990913988
ask,-6.3285204674051645
end,-6.341256676651582
question,-6.343249629434621
today,-6.357204438775762
concerta,-6.360567687872493
depression,-6.363066402601501
class,-6.371037203247868
problem,-6.372762874638731
stuff,-6.376062037979365
new,-6.377019130452614
sure,-6.3939530791965815
anxiety,-6.400640857893867
come,-6.411109230882154
psychiatrist,-6.41202373747159
felt,-6.43128778143317
ago,-6.445843974490028
ritalin,-6.457844617827567
task,-6.462143299245822
post,-6.4717593876970785
wonder,-6.472863126323893
point,-6.485115016836193
eat,-6.486437250046141
lose,-6.486829565724998
understand,-6.4896433695788875
remember,-6.491873863755209
wait,-6.49527423566368
right,-6.495707332228862
write,-6.512349894002061
recently,-6.525219834261572
normal,-6.540278068031126
finally,-6.54252616728934
morning,-6.549271459956136
sit,-6.549674556953729
study,-6.568730571407454
notice,-6.569266110736262
advice,-6.570566759811017
stimulant,-6.58148295828042
high,-6.583732071829049
energy,-6.5883439914557025
appointment,-6.601930510577558
little,-6.603296499397936
change,-6.610216167844165
add,-6.612510868891262
happen,-6.613939594993401
prescribe,-6.62039593416492
self,-6.620479100612035
stop,-6.622194357722619
leave,-6.630902442013102
guy,-6.636364558091945
dose,-6.638839462826584
minute,-6.639057646954534
tip,-6.643051024827602
motivation,-6.644322607034768
fuck,-6.647950156597509
